route_id,service_id,trip_id,shape_id,trip_headsign,bikes_allowed
270,12235,12235_0_1,270-184_186,"New Bedford",1
270,12235,12235_1_0,270-186_184,"Martha’s Vineyard",1
270,12235,12235_1_1,270-184_186,"New Bedford",1
270,12232,12232_0_0,270-186_184,"Martha’s Vineyard",1
270,12232,12232_0_1,270-184_186,"New Bedford",1
270,12232,12232_1_0,270-186_184,"Martha’s Vineyard",1
270,12232,12232_1_1,270-184_186,"New Bedford",1
270,12232,12232_2_0,270-186_184,"Martha’s Vineyard",1
270,12232,12232_2_1,270-184_186,"New Bedford",1
270,12232,12232_3_0,270-186_184,"Martha’s Vineyard",1
270,12232,12232_3_1,270-184_186,"New Bedford",1
270,12232,12232_4_0,270-186_184,"Martha’s Vineyard",1
270,12232,12232_4_1,270-184_186,"New Bedford",1
270,12232,12232_5_0,270-186_184,"Martha’s Vineyard",1
270,12232,12232_5_1,270-184_186,"New Bedford",1
270,12232,12232_6_0,270-186_184,"Martha’s Vineyard",1
270,12232,12232_6_1,270-184_186,"New Bedford",1
270,12228,12228_0_0,270-186_184,"Martha’s Vineyard",1
270,12228,12228_0_1,270-184_186,"New Bedford",1
270,12228,12228_1_0,270-186_184,"Martha’s Vineyard",1
270,12228,12228_1_1,270-184_186,"New Bedford",1
270,12228,12228_2_0,270-186_184,"Martha’s Vineyard",1
270,12228,12228_2_1,270-184_186,"New Bedford",1
270,12228,12228_3_0,270-186_184,"Martha’s Vineyard",1
270,12228,12228_3_1,270-184_186,"New Bedford",1
270,12228,12228_4_0,270-186_184,"Martha’s Vineyard",1
270,12228,12228_4_1,270-184_186,"New Bedford",1
270,12228,12228_5_0,270-186_184,"Martha’s Vineyard",1
270,12228,12228_5_1,270-184_186,"New Bedford",1
270,12225,12225_0_0,270-186_184,"Martha’s Vineyard",1
270,12225,12225_0_1,270-184_186,"New Bedford",1
270,12225,12225_1_0,270-186_184,"Martha’s Vineyard",1
270,12225,12225_1_1,270-184_186,"New Bedford",1
270,12225,12225_2_0,270-186_184,"Martha’s Vineyard",1
270,12225,12225_2_1,270-184_186,"New Bedford",1
270,12225,12225_3_0,270-186_184,"Martha’s Vineyard",1
270,12225,12225_3_1,270-184_186,"New Bedford",1
270,12225,12225_4_0,270-186_184,"Martha’s Vineyard",1
270,12225,12225_4_1,270-184_186,"New Bedford",1
270,12225,12225_5_0,270-186_184,"Martha’s Vineyard",1
270,12225,12225_5_1,270-184_186,"New Bedford",1
270,12225,12225_6_0,270-186_184,"Martha’s Vineyard",1
270,12225,12225_6_1,270-184_186,"New Bedford",1
270,12222,12222_0_0,270-186_184,"Martha’s Vineyard",1
270,12222,12222_0_1,270-184_186,"New Bedford",1
270,12222,12222_1_0,270-186_184,"Martha’s Vineyard",1
270,12222,12222_1_1,270-184_186,"New Bedford",1
270,12222,12222_2_0,270-186_184,"Martha’s Vineyard",1
270,12222,12222_2_1,270-184_186,"New Bedford",1
270,12222,12222_3_0,270-186_184,"Martha’s Vineyard",1
270,12222,12222_3_1,270-184_186,"New Bedford",1
270,12219,12219_0_0,270-186_184,"Martha’s Vineyard",1
270,12219,12219_0_1,270-184_186,"New Bedford",1
270,12219,12219_1_0,270-186_184,"Martha’s Vineyard",1
270,12219,12219_1_1,270-184_186,"New Bedford",1
270,12216,12216_0_0,270-186_7777,"Martha’s Vineyard",1
270,12216,12216_0_1,270-7777_186,"New Bedford",1
270,12213,12213_0_0,270-186_7777,"Martha’s Vineyard",1
270,12213,12213_0_1,270-7777_186,"New Bedford",1
270,12213,12213_1_0,270-186_7777,"Martha’s Vineyard",1
270,12213,12213_1_1,270-7777_186,"New Bedford",1
272,12198,12198_0_0,272-186_185,Nantucket,1
272,12198,12198_0_1,272-185_186,"New Bedford",1
272,12198,12198_1_0,272-186_185,Nantucket,1
272,12198,12198_1_1,272-185_186,"New Bedford",1
272,12195,12195_0_0,272-186_185,Nantucket,1
272,12195,12195_0_1,272-185_186,"New Bedford",1
272,12195,12195_1_0,272-186_185,Nantucket,1
272,12195,12195_1_1,272-185_186,"New Bedford",1
272,12195,12195_2_0,272-186_185,Nantucket,1
272,12195,12195_2_1,272-185_186,"New Bedford",1
272,12192,12192_0_0,272-186_185,Nantucket,1
272,12192,12192_0_1,272-185_186,"New Bedford",1
272,12192,12192_1_0,272-186_185,Nantucket,1
272,12192,12192_1_1,272-185_186,"New Bedford",1
272,12189,12189_0_0,272-186_185,Nantucket,1
272,12189,12189_0_1,272-185_186,"New Bedford",1
272,12189,12189_1_0,272-186_185,Nantucket,1
272,12189,12189_1_1,272-185_186,"New Bedford",1
272,12186,12186_0_0,272-186_185,Nantucket,1
272,12186,12186_0_1,272-185_186,"New Bedford",1
272,12186,12186_1_0,272-186_185,Nantucket,1
272,12186,12186_1_1,272-185_186,"New Bedford",1
272,12186,12186_2_0,272-186_185,Nantucket,1
272,12186,12186_2_1,272-185_186,"New Bedford",1
272,12183,12183_0_0,272-186_185,Nantucket,1
272,12183,12183_0_1,272-185_186,"New Bedford",1
272,12183,12183_1_0,272-186_185,Nantucket,1
272,12183,12183_1_1,272-185_186,"New Bedford",1
272,12183,12183_2_0,272-186_185,Nantucket,1
272,12183,12183_2_1,272-185_186,"New Bedford",1
272,12180,12180_0_0,272-186_185,Nantucket,1
272,12180,12180_0_1,272-185_186,"New Bedford",1
272,12180,12180_1_0,272-186_185,Nantucket,1
272,12180,12180_1_1,272-185_186,"New Bedford",1
272,12177,12177_0_0,272-186_185,Nantucket,1
272,12177,12177_0_1,272-185_186,"New Bedford",1
272,12174,12174_0_0,272-186_185,Nantucket,1
272,12174,12174_0_1,272-185_186,"New Bedford",1
272,12174,12174_1_0,272-186_185,Nantucket,1
272,12174,12174_1_1,272-185_186,"New Bedford",1
211,12004,12004_0_0,211-176_170_168,Manhattan,1
211,12004,12004_0_1,211-170_168_176,"New Jersey",1
211,12004,12004_1_0,211-9819_9825_170,Manhattan,1
211,12004,12004_1_1,211-9825_170_9819,,1
211,12004,12004_2_0,211-176_175_170_168,Manhattan,1
211,12004,12004_2_1,211-170_168_175,"New Jersey",1
211,12004,12004_3_0,211-175_170_168,Manhattan,1
211,12004,12004_3_1,211-168_170_176,"New Jersey",1
211,12004,12004_4_0,211-176_170_168,Manhattan,1
211,12004,12004_4_1,211-168_170_175_176,"New Jersey",1
211,12004,12004_5_0,211-9819_170_9825_9954_8306,,1
211,12004,12004_5_1,211-168_170_176_175,"New Jersey",1
211,12004,12004_6_0,211-175_170_168,Manhattan,1
211,12004,12004_6_1,211-8306_9825_170_9819,,1
211,12004,12004_7_0,211-176_168_170,Manhattan,1
211,12004,12004_7_1,211-168_170_176_175,"New Jersey",1
211,12004,12004_8_0,211-176_175_168_170,Manhattan,1
211,12004,12004_8_1,211-168_170_175_176,"New Jersey",1
211,12004,12004_9_0,211-9819_8306_9954_9825_170,Manhattan,1
211,12004,12004_9_1,211-8306_9954_9825_170_9819,,1
211,12004,12004_10_0,211-176_175_168_170,Manhattan,1
211,12004,12004_10_1,211-168_170_176_175,"New Jersey",1
211,12004,12004_11_0,211-175_176_168_170,Manhattan,1
211,12004,12004_11_1,211-168_170_175_176,"New Jersey",1
211,12004,12004_12_0,211-176_168_170,Manhattan,1
211,12004,12004_12_1,211-168_170_175_176,"New Jersey",1
